,Player,Tackles90,Interceptions90,PossessionWonFinalThird90,AccuratePasses90
0,Gabriel Suazo,4.4,1.2,0.4,38.1
1,Santiago Mourino,4.4,1.3,0.4,43.7
2,Dani Ceballos,4.3,1.5,0.3,71.1
3,Eduardo Camavinga,4.2,0.7,0.5,56.7
4,Alejandro Rego,4.2,1.7,0.7,33.2
5,Sergio Gomez,4.1,1.1,0.2,47.3
6,Ilaix Moriba,4.0,1.0,0.4,34.5
7,Sergi Altimira,4.0,2.2,0.3,50.4
8,Ilias Akhomach,4.0,,,25.9
9,Calebe,3.8,1.0,0.6,36.0
10,Mikel Vesga,3.8,2.7,1.1,42.5
11,Jon Aramburu,3.6,1.1,0.1,35.2
12,Benat Turrientes,3.5,0.6,0.6,31.3
13,John Donald,3.5,0.9,0.4,46.1
14,Oscar Valentin,3.4,1.1,0.1,33.7
15,Aihen Munoz,3.3,0.8,,27.3
16,Ramon Terrats,3.2,1.8,1.4,17.2
17,Juan Iglesias,3.1,0.5,0.2,16.5
18,Matteo Ruggeri,3.1,0.8,0.3,40.4
19,Adrià Pedrosa,3.1,1.3,0.2,32.9
20,Jude Bellingham,3.0,0.8,1.3,48.4
21,Manu Morlanes,3.0,1.0,0.3,39.4
22,Abdelkabir Abqar,3.0,1.3,0.1,22.9
23,Manuel Sánchez,2.9,1.0,0.4,22.6
24,Inigo Ruiz de Galarreta,2.9,0.6,1.2,40.5
25,Marc Bartra,2.9,1.6,0.1,42.2
26,Pepelu,2.8,0.9,0.3,51.0
27,Frenkie de Jong,2.8,1.4,0.4,76.4
28,Jorge Herrando,2.8,1.1,,25.2
29,Pablo Garcia,2.8,0.9,0.6,18.0
30,Antonio Blanco,2.7,1.9,0.2,51.2
31,José Ángel Carmona,2.7,1.1,0.2,32.9
32,Arnau Martinez,2.7,1.7,,43.7
33,Valentin Gomez,2.7,1.1,,38.1
34,Federico Vinas,2.7,0.7,0.2,13.8
35,Rubén Garcia,2.7,0.6,0.7,28.3
36,Unai Vencedor,2.7,0.6,0.5,37.8
37,Carlos Romero,2.6,1.2,0.5,21.2
38,Pablo Maffeo,2.6,1.1,0.2,22.2
39,Victor Chust,2.6,0.6,0.1,55.3
40,Gerard Martin,2.6,1.4,0.1,70.2
41,Coba da Costa,2.6,0.3,0.6,24.3
42,Flavien Boyomo,2.5,0.4,0.1,34.2
43,Eric Garcia,2.5,1.3,0.3,66.8
44,Leander Dendoncker,2.5,0.8,0.1,32.7
45,Juanlu Sánchez,2.5,0.5,0.3,30.6
46,Abdessamad Ezzalzouli,2.5,0.6,1.4,26.6
47,Abderrahman Rebbach,2.5,0.9,0.5,22.7
48,Conor Gallagher,2.5,1.7,0.9,44.8
49,Nahuel Molina,2.5,0.8,0.2,39.3
50,Jesus Vázquez,2.5,0.2,0.4,28.0
51,Léo Pétrot,2.5,0.8,0.2,49.7
52,Daniel Raba,2.5,1.4,1.4,28.6
53,Diego Rico,2.4,1.6,0.2,20.4
54,Omar El Hilali,2.4,1.2,,33.8
55,José Gayà,2.4,0.8,0.3,26.7
56,Kervin Arriaga,2.4,1.0,0.3,38.3
57,André Almeida,2.4,1.3,0.5,43.4
58,Jon Olasagasti,2.4,1.0,0.2,35.0
59,Ayoze Pérez,2.4,0.3,,18.2
60,Arsen Zakharyan,2.4,,0.3,33.4
61,Jonny Otto,2.3,1.6,0.3,47.4
62,Jeremy Toljan,2.3,1.1,0.1,21.5
63,Iván Martin,2.3,0.6,0.3,45.0
64,Germán Valera,2.3,0.5,0.5,34.9
65,Marcos Llorente,2.3,0.5,0.2,55.4
66,Pathé Ciss,2.3,1.4,0.1,53.2
67,Alfonso Pedraza,2.3,0.9,,28.1
68,Miguel Román,2.3,0.8,0.2,41.2
69,Aleix Febas,2.2,0.5,0.6,54.4
70,David Affengruber,2.2,1.6,0.1,55.6
71,Carlos Vicente,2.2,0.5,0.2,27.4
72,Fermin Lopez,2.2,0.3,0.5,38.2
73,Mateu Morey,2.2,1.2,0.6,22.4
74,Williot Swedberg,2.2,,0.2,14.2
75,Gonzalo Garcia,2.2,0.6,1.1,24.8
76,Mikel Jauregizar,2.1,1.7,0.7,36.2
77,Andrei Ratiu,2.1,1.4,0.4,35.6
78,Mauro Arambarri,2.1,0.6,0.6,17.2
79,Johan Mojica,2.1,0.6,0.2,32.6
80,Jon Gorrotxategi,2.1,1.8,0.5,42.9
81,Rahim Alhassane,2.1,1.5,0.1,30.1
82,Pedro Bigas,2.1,1.4,,62.6
83,Santi Comesana,2.1,0.7,0.7,41.8
84,Lucien Agoume,2.1,1.2,0.5,35.7
85,Batista Mendy,2.1,0.8,0.2,28.5
86,Oscar Mingueza,2.1,0.2,0.3,48.1
87,Jon Pacheco,2.1,0.7,,40.4
88,César Azpilicueta,2.1,2.1,,48.2
89,Andrés Lopez,2.1,1.2,,56.2
90,Santi Cazorla,2.1,0.2,0.4,44.8
91,Aurélien Tchouaméni,2.0,1.6,0.4,55.8
92,Giuliano Simeone,2.0,0.8,0.6,30.4
93,Koke,2.0,0.8,0.4,68.3
94,Pedri,2.0,0.8,0.8,83.1
95,Tyrhys Dolan,2.0,0.4,0.8,17.1
96,Mario Martin,2.0,0.3,0.6,19.7
97,Pere Milla,2.0,0.9,1.0,17.9
98,Samu,2.0,0.8,0.6,34.7
99,Lucas Boye,2.0,0.4,1.6,14.7
100,Dani Olmo,2.0,0.5,0.4,45.6
101,Sergi Cardona,2.0,1.8,0.2,31.0
102,Hugo Sotelo,2.0,1.4,0.1,59.2
103,Alberto Reina,2.0,0.8,0.4,34.7
104,Hugo Rincon,2.0,0.5,0.1,30.4
105,Aitor Ruibal,2.0,0.8,0.6,24.5
106,Franco Mastantuono,2.0,,1.0,41.7
107,Héctor Fort,2.0,1.4,0.9,27.9
108,Gerard Gumbau,2.0,0.4,1.2,32.2
109,Federico Valverde,1.9,0.9,0.5,53.6
110,Pep Chavarria,1.9,1.0,0.1,38.8
111,Abel Bretones,1.9,1.0,0.1,19.3
112,Jules Koundé,1.9,1.1,0.2,61.1
113,Arda Güler,1.9,0.4,0.4,51.8
114,Javi Rodriguez,1.9,1.0,0.1,62.9
115,Alejandro Balde,1.9,0.5,0.6,47.7
116,Pablo Ibánez,1.9,1.0,0.6,37.0
117,Djibril Sow,1.9,0.9,0.2,33.0
118,Kiko,1.9,2.0,0.3,22.5
119,Thierry Correia,1.9,1.3,0.3,31.0
120,Juan Foyth,1.9,1.6,0.1,50.7
121,Marc Roca,1.9,1.0,1.0,38.5
122,Charles Pickel,1.9,0.8,0.3,25.4
123,Abu Kamara,1.9,0.9,,19.4
124,Daniel Vivian,1.8,1.3,0.1,41.3
125,Florian Lejeune,1.8,0.9,0.1,53.3
126,Daley Blind,1.8,1.4,0.1,58.5
127,Éder Militao,1.8,0.9,0.3,55.1
128,Unai Lopez,1.8,1.1,0.2,55.5
129,Carles Alena,1.8,0.3,0.4,34.9
130,Nemanja Gudelj,1.8,0.6,0.1,37.2
131,Urko González,1.8,1.2,0.3,25.5
132,Oriol Rey,1.8,0.7,0.1,32.3
133,Omar Mascarell,1.8,1.3,0.3,30.4
134,Manu Fernandez,1.8,0.8,0.3,57.4
135,Rodrygo,1.8,0.2,1.0,40.4
136,Trent Alexander-Arnold,1.8,1.8,,55.6
137,Hugo Álvarez,1.8,0.8,0.8,34.4
138,Unai Gomez,1.8,,1.2,16.8
139,Victor Garcia,1.8,2.8,,20.7
140,Jon Moncayola,1.7,0.8,0.4,35.5
141,David Hancko,1.7,0.7,0.3,41.3
142,Lucas Torro,1.7,1.3,0.3,29.0
143,Marcos Alonso,1.7,1.3,0.1,70.7
144,Nacho Vidal,1.7,1.3,,29.8
145,Rafa Marin,1.7,0.9,,54.4
146,Pedro Diaz,1.7,0.2,0.5,31.4
147,Aimar Oroz,1.7,0.5,0.7,29.5
148,Daniel Parejo,1.7,1.1,0.2,57.9
149,Brahim Diaz,1.7,0.3,1.2,33.5
150,José Luis Morales,1.7,1.0,1.0,25.2
151,Sergio Carreira,1.6,1.1,0.2,44.1
152,Lamine Yamal,1.6,0.3,0.9,40.5
153,Dean Huijsen,1.6,0.7,,62.3
154,Santiago Colombatto,1.6,0.4,0.3,39.9
155,Nicolas Pépé,1.6,0.7,0.8,30.5
156,Takefusa Kubo,1.6,0.3,0.5,24.9
157,Denis Suárez,1.6,0.5,0.5,50.5
158,Carl Starfelt,1.6,1.3,,59.0
159,Sofyan Amrabat,1.6,0.9,0.7,58.9
160,Thomas Partey,1.6,1.6,0.7,44.6
161,Valentin Rosier,1.6,1.4,0.1,27.5
162,Alexis Sánchez,1.6,0.5,0.7,23.6
163,Chidera Ejuke,1.6,0.7,,30.1
164,César Tárrega,1.5,1.1,,45.4
165,Alvaro Carreras,1.5,1.5,0.4,59.6
166,Yuri Berchiche,1.5,1.1,0.2,41.4
167,Etta Eyong,1.5,0.2,1.0,9.6
168,Igor Zubeldia,1.5,1.0,,43.7
169,Brais Méndez,1.5,0.4,0.9,38.8
170,Edu Exposito,1.5,0.7,0.3,30.3
171,Marc Aguado,1.5,2.0,0.4,48.5
172,Robin Le Normand,1.5,0.5,0.1,48.1
173,David Costas,1.5,1.0,,40.7
174,Tajon Buchanan,1.5,1.3,0.7,22.8
175,Aitor Paredes,1.5,1.5,,48.0
176,Álex Baena,1.5,1.0,0.5,32.1
177,Goduine Koyalipou,1.5,0.4,0.4,11.7
178,Martin Valjent,1.4,0.4,0.1,35.9
179,Nahuel Tenaglia,1.4,1.3,0.1,33.1
180,Pablo Fornals,1.4,1.0,0.8,47.5
181,Luis Milla,1.4,1.0,0.6,32.8
182,Pablo Barrios,1.4,1.6,0.6,48.9
183,Djené,1.4,0.7,0.1,22.1
184,Jorge de Frutos,1.4,0.3,0.8,12.1
185,Pau Cubarsi,1.4,0.8,,85.7
186,José Copete,1.4,1.2,0.1,43.9
187,Mateo Joseph,1.4,0.6,0.2,12.8
188,Fernando Calero,1.4,1.2,,48.0
189,Haissem Hassan,1.4,0.2,0.8,19.3
190,Nicolás González,1.4,0.9,0.6,24.5
191,Dani Calvo,1.4,0.6,,40.5
192,Baptiste Santamaria,1.4,0.7,0.7,42.1
193,Ronald Araujo,1.4,1.1,0.3,61.1
194,Fran Pérez,1.4,0.3,0.6,20.5
195,Javi Rueda,1.4,1.4,0.3,28.1
196,Raul Garcia,1.4,0.8,0.6,14.3
197,Marc Casado,1.4,0.8,0.2,76.3
198,Pablo Martinez,1.4,1.0,0.2,23.7
199,Rodrigo Riquelme,1.4,0.5,0.9,28.8
200,Jofre Carreras,1.4,0.6,0.6,10.9
201,Cristhian Stuani,1.4,0.5,,9.2
202,Alvaro Nunez,1.3,1.0,0.3,50.5
203,Vinicius Junior,1.3,0.1,0.6,31.4
204,Pol Lozano,1.3,0.9,0.2,32.5
205,Axel Witsel,1.3,1.1,0.4,43.6
206,Carlos Álvarez,1.3,0.5,0.4,27.2
207,David Carmo,1.3,1.0,0.1,48.9
208,Giovani Lo Celso,1.3,0.4,1.2,50.1
209,Azzedine Ounahi,1.3,1.4,0.5,34.7
210,Bryan Gil,1.3,0.8,0.4,21.7
211,Joel Roca,1.3,0.1,0.4,17.6
212,Viktor Tsigankov,1.3,0.6,0.3,26.6
213,Pablo Durán,1.3,0.4,0.7,14.8
214,Rodrigo Mendoza,1.3,0.4,0.4,38.6
215,Alex Sancris,1.3,0.2,1.0,15.7
216,Luka Ilic,1.3,0.7,0.5,21.3
217,Thiago Almada,1.3,0.6,0.9,44.6
218,Josip Brekalo,1.3,0.5,0.8,30.8
219,Alejandro Catena,1.2,1.1,,38.1
220,Alex Berenguer,1.2,0.4,0.8,23.8
221,Álvaro Garcia,1.2,0.5,0.7,15.7
222,Luis Rioja,1.2,0.7,0.3,22.5
223,Hector Bellerin,1.2,0.6,0.3,42.0
224,Antony,1.2,1.0,0.8,36.5
225,Pape Gueye,1.2,1.3,0.8,39.9
226,Youssef Enriquez,1.2,0.8,,30.9
227,Pablo Marin,1.2,0.3,0.2,22.8
228,Ricardo Rodriguez,1.2,0.6,0.2,35.2
229,Yaser Asprilla,1.2,0.8,0.5,17.9
230,Lucas Beltran,1.2,0.4,0.8,19.6
231,Andreas Christensen,1.2,0.5,,75.3
232,Jon Guridi,1.2,0.2,0.5,30.4
233,Josan,1.2,0.3,0.3,35.2
234,Sheraldo Becker,1.2,1.8,0.6,19.2
235,Juan Hernández,1.1,0.2,0.8,17.1
236,Álex Moreno,1.1,1.0,0.3,26.8
237,Vitor Reis,1.1,0.9,,50.0
238,Jesus Areso,1.1,0.9,0.4,28.9
239,Javier Guerra,1.1,0.9,0.1,35.3
240,Marcao,1.1,0.4,,37.6
241,Ilyas Chaira,1.1,0.3,0.8,23.0
242,Carlos Soler,1.1,0.5,0.4,38.5
243,Dimitri Foulquier,1.1,0.9,0.2,38.0
244,Victor Parada,1.1,0.5,,23.4
245,Isaac Romero,1.1,,0.5,14.3
246,Nobel Mendy,1.1,1.2,,44.3
247,Raul Asencio,1.1,0.7,0.1,55.5
248,Rubén Sánchez,1.1,1.7,0.3,32.9
249,Antonio Raillo,1.0,0.8,0.1,42.5
250,Adrián Liso,1.0,0.2,0.6,10.0
251,Adrián De La Fuente,1.0,1.3,,32.1
252,Roger Brugué,1.0,0.4,0.2,16.8
253,Ruben Vargas,1.0,0.4,0.8,23.4
254,Moi Gomez,1.0,0.7,0.6,57.5
255,Jon Martin,1.0,1.6,,49.5
256,Iago Aspas,1.0,0.9,1.0,41.6
257,Martim Neto,1.0,,0.1,41.0
258,Fran Beltrán,1.0,1.3,0.2,49.3
259,Ander Guevara,1.0,1.3,,42.0
260,Alfonso Espino,1.0,0.3,0.3,33.0
261,Mariano Diaz,1.0,,1.3,8.2
262,Nelson Deossa,1.0,,1.0,29.6
263,Domingos Duarte,0.9,0.9,,20.8
264,Alberto Moleiro,0.9,0.3,0.3,19.2
265,Bryan Zaragoza,0.9,0.2,0.6,20.5
266,Duje Caleta-Car,0.9,1.1,,53.3
267,Matias Moreno,0.9,1.6,,30.7
268,Oihan Sancet,0.9,0.3,0.8,23.6
269,Raphinha,0.9,,0.4,35.0
270,Gerard Fernandez,0.9,,0.2,28.6
271,Natan,0.8,1.3,0.1,40.9
272,Julián Álvarez,0.8,0.1,0.8,25.9
273,Sergi Darder,0.8,0.9,0.3,30.8
274,Diego Lopez,0.8,0.6,0.5,17.6
275,Ander Barrenetxea,0.8,0.7,0.5,29.3
276,Aymeric Laporte,0.8,1.2,,50.4
277,Ivan Romero,0.8,0.2,0.8,13.3
278,Unai Elgezabal,0.8,0.3,0.1,32.2
279,Goncalo Guedes,0.8,0.1,0.7,21.0
280,Antoine Griezmann,0.8,0.1,0.4,39.1
281,Antonio Sánchez,0.8,1.0,0.2,24.8
282,Cristian Portu,0.8,0.4,0.2,10.7
283,Tani Oluwaseyi,0.8,,0.2,6.6
284,Takuma Asano,0.8,0.3,,12.0
285,Leandro Cabrera,0.7,0.8,0.1,33.4
286,Ante Budimir,0.7,0.1,0.6,9.2
287,Arnaut Danjuma,0.7,,0.8,15.5
288,Antonio Martinez,0.7,0.3,0.4,12.1
289,Nico Williams,0.7,0.4,1.3,21.9
290,Ferrán Jutglà,0.7,0.1,0.3,18.6
291,Jan Virgili,0.7,0.1,0.8,19.4
292,Kike Garcia,0.7,0.3,0.6,12.9
293,Robert Navarro,0.7,0.5,0.5,23.2
294,Roony Bardghji,0.7,,0.7,38.9
295,Enrique Barja,0.7,,,18.1
296,Rafa Mir,0.6,0.3,0.7,18.0
297,Victor Munoz,0.6,0.2,0.8,15.7
298,Marcus Rashford,0.6,0.1,0.7,31.7
299,Mikel Oyarzabal,0.6,,0.9,16.3
300,Gorka Guruzeta,0.6,0.3,0.7,15.3
301,Hugo Duro,0.6,0.2,0.3,13.4
302,Clément Lenglet,0.6,1.4,,53.1
303,Alexandre Zurawski,0.6,,0.2,9.6
304,Juan Cruz,0.6,0.5,,27.4
305,Pablo Torre,0.6,0.4,0.3,35.2
306,Sergio Camello,0.6,0.3,1.0,19.4
307,Borja Mayoral,0.5,0.4,0.9,17.7
308,Alexander Sørloth,0.5,,0.4,12.9
309,André Silva,0.5,0.2,0.5,21.4
310,Inaki Williams,0.5,,0.4,13.5
311,Javier Puado,0.5,0.4,0.8,22.2
312,Jhon Solis,0.5,0.8,,34.0
313,Jones El-Abdellaoui,0.5,0.5,0.5,19.8
314,Isi Palazon,0.4,,0.2,26.7
315,Akor Adams,0.4,,0.4,9.0
316,Borja Iglesias,0.4,,0.6,16.8
317,Ferran Torres,0.4,0.3,0.7,15.3
318,Renato Veiga,0.4,0.6,0.1,50.1
319,Robert Lewandowski,0.4,0.1,0.7,12.9
320,Giacomo Raspadori,0.4,,0.9,29.1
321,Roberto Fernández,0.3,0.3,0.7,9.6
322,José Salomon Rondon,0.3,0.1,0.2,12.8
323,Vladyslav Vanat,0.3,0.1,0.3,10.7
324,Alfon González,0.3,0.3,0.6,16.9
325,Marko Dmitrovic,0.2,,,14.3
326,Joan Garcia,0.2,0.1,,23.8
327,Georges Mikautadze,0.2,,0.2,11.1
328,Kylian Mbappé,0.1,0.1,1.1,31.6
329,Alex Remiro,0.1,,,24.6
330,Álvaro Rodriguez,0.1,0.1,0.3,16.1
331,Antonio Sivera,0.1,,,12.8
332,Augusto Batalla,0.1,,,22.8
333,Julen Agirrezabala,0.1,,,18.9
334,Thibaut Courtois,0.1,,,23.1
335,Vedat Muriqi,0.1,0.1,0.5,13.8
