"number";"Player";"xGChain90";"xGBuildup90"
1;"Kylian Mbappe-Lottin";1.08;0.31
2;"Ferrán Torres";1.13;0.22
3;"Vedat Muriqi";0.5;0.18
4;"Robert Lewandowski";1.3;0.36
5;"Julián Álvarez";0.83;0.33
6;"Rafa Mir";0.43;0.12
7;"Juan Camilo Hernández";0.58;0.17
8;"Raphinha";1.42;0.57
9;"Etta Eyong";0.55;0.05
10;"Lamine Yamal";1.17;0.54
11;"Alberto Moleiro";0.59;0.17
12;"Mikel Oyarzabal";0.72;0.26
13;"Antoine Griezmann";1.25;0.52
14;"Borja Iglesias";0.66;0.18
15;"Pere Milla";0.52;0.15
16;"Hugo Duro";0.45;0.08
17;"Vinícius Júnior";0.86;0.26
18;"Antony";0.73;0.35
19;"Tajon Buchanan";0.47;0.19
20;"Ante Budimir";0.28;0.06
21;"Gerard Moreno";0.84;0.43
22;"Borja Mayoral";0.22;0.03
23;"André Silva";0.65;0.12
24;"Alexander Sørloth";0.59;0.02
25;"Jorge De Frutos";0.57;0.1
26;"Dani Olmo";1.06;0.57
27;"Iván Romero";0.56;0.06
28;"Fermín López";1.17;0.58
29;"Carlos Vicente";0.35;0.06
30;"Roberto Fernández";0.51;0.08
31;"Lucas Boyé";0.54;0.15
32;"Cristhian Stuani";0.6;0.25
33;"Pablo Fornals";0.71;0.44
34;"Kike García";0.81;0.12
35;"Gonçalo Guedes";0.55;0.35
36;"Brais Méndez";0.54;0.28
37;"Álvaro García";0.68;0.08
38;"Ander Barrenetxea";0.67;0.38
39;"Ruben Vargas";0.39;0.15
40;"Arnaut Danjuma Groeneveld";0.39;0.08
41;"Georges Mikautadze";0.77;0.04
42;"Azz-Eddine Ounahi";0.41;0.27
43;"Roberto Navarro";0.42;0.19
44;"Jude Bellingham";0.82;0.46
45;"Nico Williams";0.69;0.2
46;"Diego López";0.37;0.08
47;"Abdessamad Ezzalzouli";0.91;0.21
48;"Williot Swedberg";0.83;0.38
49;"Viktor Tsygankov";0.45;0.1
50;"Akor Adams";0.57;0.07
51;"Arda Güler";0.68;0.32
52;"Isaac Romero";0.55;0.12
53;"Adrián Liso";0.19;0.02
54;"Vladyslav Vanat";0.53;0.13
55;"Alexis Sánchez";0.44;0.34
56;"Marcus Rashford";0.81;0.37
57;"Ayoze Pérez";0.96;0.27
58;"Salomón Rondón";0.27;0.03
59;"Iago Aspas";1;0.59
60;"Carlos Soler";0.39;0.25
61;"Djibril Sow";0.25;0.17
62;"Mauro Arambarri";0.17;0.03
63;"Nicolas Pepe";1.1;0.45
64;"Leandro Cabrera";0.24;0.22
65;"Antonio Martínez";0.33;0.11
66;"Javi Puado";0.43;0.16
67;"Santiago Comesaña";0.8;0.55
68;"Alejandro Catena";0.11;0.06
69;"Raul García";0.44;0.04
70;"Ronald Araújo";0.41;0.33
71;"German Valera";0.34;0.26
72;"Álex Baena";0.8;0.46
73;"Ferrán Jutglà";0.38;0.18
74;"Pape Alassane Gueye";0.73;0.53
75;"Pedri";1.09;0.85
76;"Giuliano Simeone";0.77;0.36
77;"Samú Costa";0.34;0.23
78;"Pablo Durán";0.33;0.04
79;"Alvaro Rodríguez";0.51;0.1
80;"Mateo Joseph";0.46;0.1
81;"Carlos Álvarez";0.51;0.29
82;"Mario Martín";0.09;0.05
83;"Carlos Romero";0.32;0.19
84;"Víctor Muñoz";0.27;0.1
85;"Thiago Almada";1.14;0.59
86;"Tani Oluwaseyi";1.13;0.05
87;"Jeremy Toljan";0.33;0.17
88;"Pablo Maffeo";0.35;0.32
89;"Diego Llorente";0;0
90;"Rubén García";0.23;0.11
91;"Morales";1.41;0.6
92;"Koke";0.58;0.53
93;"Cédric Bakambu";2.15;0.48
94;"Denis Suárez";0.41;0.32
95;"Iñaki Williams";0.33;0.12
96;"Álvaro Odriozola";0.87;0
97;"Marc Bartra";0.34;0.34
98;"Omar Mascarell";0.33;0.27
99;"Axel Witsel";0.43;0.39
100;"Alex Berenguer";0.48;0.17
101;"Baptiste Santamaria";0.28;0.25
102;"Mouctar Diakhaby";0.16;0.15
103;"Giovani Lo Celso";0.87;0.56
104;"Dodi Lukebakio";0.5;0.13
105;"Takuma Asano";0.51;0.24
106;"Ander Guevara";0.24;0.21
107;"Aitor Ruibal";0.5;0.19
108;"Jules Koundé";0.66;0.59
109;"Manuel Morlanes";0.43;0.3
110;"Miguel Ángel Rubio";0.01;0.01
111;"Gorka Guruzeta";0.62;0.18
112;"Nicolás González";0.56;0.3
113;"Adrià Pedrosa";0.68;0.41
114;"Leander Dendoncker";0.15;0.1
115;"Robin Le Normand";0.4;0.39
116;"Eduardo Camavinga";0.64;0.46
117;"Manuel Sánchez";0.39;0.29
118;"Oihan Sancet";0.25;0.05
119;"Eder Militão";0.45;0.38
120;"Aleix Febas";0.47;0.39
121;"Luis Rioja";0.26;0.12
122;"Nemanja Gudelj";0.2;0.19
123;"Pol Lozano";0.23;0.2
124;"Takefusa Kubo";0.47;0.26
125;"Rodrygo";0.69;0.25
126;"Eric Garcia";0.84;0.79
127;"Mateu Morey";0.22;0.1
128;"Sergio Carreira";0.52;0.46
129;"Lucien Agoume";0.47;0.36
130;"Batista Mendy";0.26;0.22
131;"Chidera Ejuke";0.55;0.25
132;"Alfonso Espino";0.82;0.26
133;"Aitor Paredes";0.07;0.07
134;"Óscar Mingueza";0.67;0.53
135;"Conor Gallagher";0.86;0.67
136;"John Donald";1.2;0.88
137;"Juan Iglesias";0.17;0.14
138;"Alfon";0.41;0.07
139;"José Ángel Carmona";0.4;0.32
140;"Isi Palazón";0.46;0.29
141;"Hugo Álvarez";0.39;0.34
142;"Rafa Marín";0.43;0.43
143;"Iker Benito";0.41;0.15
144;"Nahuel Tenaglia";0.13;0.12
145;"Luka Ilic";0.18;0.07
146;"Pablo Barrios Rivas";0.6;0.48
147;"Álvaro Fernández";0.65;0.59
148;"Manor Solomon";1.52;0.82
149;"Pablo Ibáñez";0.23;0.17
150;"Fran Pérez";0.66;0.3
151;"Arnau Martinez";0.38;0.37
152;"Joel Roca";0.36;0.09
153;"Marcão";0.15;0.15
154;"Pep Chavarría";0.43;0.29
155;"Rodrigo Mendoza";0.33;0.24
156;"Lucas Beltrán";0.63;0.26
157;"Dean Huijsen";0.49;0.45
158;"Sergi Altimira";0.27;0.24
159;"Mikel Jauregizar";0.28;0.2
160;"Nobel Mendy";0.24;0.24
161;"Javier Rueda";0.67;0.52
162;"Christantus Uche";0.72;0.02
163;"Peque";0.34;0.24
164;"Abel Bretones";0.1;0.07
165;"Enzo Boyomo";0.16;0.08
166;"Orri Óskarsson";1.03;0
167;"Goduine Koyalipou";0.6;0
168;"Jones El Abdellaoui";1.02;0.26
169;"Maroan Sannadi";0.58;0.01
170;"Miguel Román";0.73;0.4
171;"Alejandro Rego";0.25;0.2
172;"Alberto Reina";0.13;0.05
173;"Federico Viñas";0.28;0.14
174;"Valentín Gómez";0.23;0.18
175;"Franco Mastantuono";0.58;0.33
176;"Jon Gorrotxategi";0.31;0.27
177;"David Carmo";0.25;0.19
178;"Kervin Arriaga";0.21;0.19
179;"Alemão";0.37;0.03
180;"Roony Bardghji";1.45;0.88
181;"Andreas Christensen";0.54;0.54
182;"Ørjan Nyland";0.19;0.19
183;"Ricardo Rodríguez";0.22;0.17
184;"Adnan Januzaj";0.26;0.17
185;"Odisseas Vlachodimos";0.1;0.1
186;"David Alaba";0.64;0.64
187;"Héctor Bellerín";0.53;0.39
188;"Daley Blind";0.34;0.33
189;"Nyom";0.14;0
190;"Thibaut Courtois";0.25;0.25
191;"César Azpilicueta";0.15;0.15
192;"Juanmi";0.07;0.07
193;"Santiago Cazorla";0.51;0.47
194;"Paulo Gazzaniga";0.1;0.1
195;"Wojciech Szczesny";0.38;0.38
196;"Umar Sadiq";0.26;0
197;"Marcos Alonso";0.37;0.36
198;"Eric Bailly";0.04;0.04
199;"Ovie Ejaria";0.6;0.51
200;"Trent Alexander-Arnold";0.73;0.6
201;"Antonio Rüdiger";0.5;0.44
202;"Ionut Radu";0.2;0.2
203;"David López";0.26;0.26
204;"Pau López";0.06;0.06
205;"Joan Jordán";4.8;4.8
206;"Moi Gómez";0.24;0.16
207;"Aritz Elustondo";0.07;0.07
208;"Yuri";0.21;0.19
209;"Isco";0.42;0.1
210;"Daniel Carvajal";0.47;0.29
211;"Jan Oblak";0.19;0.19
212;"Giménez";0.38;0.37
213;"Jonny";0.3;0.25
214;"Thomas Partey";0.33;0.27
215;"Aarón";0.07;0.07
216;"Pedro Bigas";0.34;0.33
217;"Daniel Parejo";0.38;0.27
218;"Mat Ryan";0.09;0.09
219;"Íñigo Lekue";0.49;0.44
220;"David Soria";0.03;0.03
221;"Igor Zubeldia";0.28;0.25
222;"Dani Ceballos";1;0.92
223;"Toni Lato";0.08;0.08
224;"Aymeric Laporte";0.19;0.16
225;"José Gayá";0.22;0.1
226;"Dimitri Foulquier";0.24;0.22
227;"Marcos Llorente";0.79;0.56
228;"Alfonso";0.44;0.3
229;"Pepelu";0.18;0.15
230;"Remiro";0.2;0.19
231;"Raíllo";0.2;0.19
232;"Dani Calvo";0.06;0.06
233;"Gerard Gumbau";0.12;0
234;"Sergi Darder";0.28;0.15
235;"Óscar Trejo";2.24;1.67
236;"Thomas Lemar";0.31;0.05
237;"Unai López";0.37;0.31
238;"Álex Moreno";0.37;0.25
239;"David Costas";0.16;0.16
240;"Javi Muñoz";0.06;0.01
241;"Kiko Femenía";0.15;0.06
242;"Clement Lenglet";0.39;0.39
243;"Carles Aleñá";0.35;0.19
244;"Diego Rico";0.07;0.03
245;"Florian Lejeune";0.28;0.26
246;"Mikel Vesga";0.15;0.12
247;"Edu Expósito";0.44;0.33
248;"Marc Roca";0.22;0.19
249;"Mariano";0.31;0.01
250;"Kike Barja";0.18;0.1
251;"Nacho Vidal";0.22;0.1
252;"Jon Guridi";0.35;0.17
253;"Unai Simón";0.07;0.07
254;"Raba";0.18;0.03
255;"Josip Brekalo";0.53;0.18
256;"Valentin Rosier";0.13;0.06
257;"Iván Balliu";0.33;0.31
258;"Mihailo Ristic";0.21;0.18
259;"Antonio Sivera";0.06;0.06
260;"Portu";0.4;0.09
261;"Djené Dakonam";0.07;0.07
262;"Luiz Felipe";0.04;0.04
263;"Marko Dmitrovic";0.11;0.11
264;"Federico Valverde";0.59;0.53
265;"Johan Mojica";0.31;0.17
266;"Diego Pampín";0.16;0.1
267;"Juan Foyth";0.34;0.34
268;"Marash Kumbulla";0.06;0.06
269;"Andoni Gorosabel";0.33;0.27
270;"Brahim Diaz";0.76;0.35
271;"Júnior Firpo";0.5;0.41
272;"Aurelien Tchouameni";0.55;0.42
273;"Grady Diangana";0.37;0.29
274;"Sergio Gómez";0.39;0.25
275;"Dani Vivian";0.18;0.18
276;"Fernando Calero";0.15;0.14
277;"Fran Beltrán";0.38;0.34
278;"Ezequiel Ávila";0.36;0
279;"Duje Caleta-Car";0.32;0.3
280;"Lucas Torró";0.16;0.09
281;"David Hancko";0.45;0.33
282;"Juan Musso";0.13;0.13
283;"Iñaki Peña";0.13;0.13
284;"Aihen Muñoz";0.41;0.36
285;"Bryan Gil Salvatierra";0.62;0.31
286;"Yangel Herrera";0.08;0.06
287;"Javi Galán";0.86;0.8
288;"Alex Sola";0;0
289;"Giacomo Raspadori";0.78;0.1
290;"Andrei Ratiu";0.46;0.29
291;"Sergio Camello";0.48;0.05
292;"Iván Martín";0.35;0.27
293;"Abel Ruiz";0;0
294;"Leo Petrot";0.2;0.18
295;"Moussa Diarra";0.02;0.02
296;"Carl Starfelt";0.37;0.37
297;"Frenkie de Jong";0.93;0.8
298;"Iker Losada";0.49;0
299;"Joseph Aidoo";0.02;0.02
300;"Martin Valjent";0.29;0.27
301;"Dani Rodríguez";0.16;0.12
302;"Jon Moncayola";0.26;0.14
303;"Sergio Herrera";0.04;0.04
304;"Domingos Duarte";0.02;0.02
305;"Sheraldo Becker";0.3;0
306;"Sofyan Amrabat";0.39;0.35
307;"Nianzou Kouassi";0.24;0.23
308;"Rodrigo Riquelme";0.64;0.26
309;"Abdón Prats";0.91;0.02
310;"Thierry Correia";0.25;0.23
311;"Pablo Martínez";0.48;0.24
312;"Unai Vencedor";0.23;0.14
313;"Juanlu Sanchez";0.25;0.13
314;"Javier López";0.14;0.1
315;"Sergio Lozano";0;0
316;"Jon Pacheco Dozagarat";0.1;0.1
317;"Aimar Oroz";0.28;0.17
318;"Víctor García";0.09;0.05
319;"Arnau Tenas";0.06;0.06
320;"Yvan Neyou";0;0
321;"Luis Milla";0.18;0.09
322;"Juan Cruz";0.14;0.13
323;"Arsen Zakharyan";0.62;0.43
324;"Oriol Rey";0.41;0.38
325;"Donny van de Beek";0.91;0.72
326;"Urko Gonzalez";0.23;0.21
327;"Matteo Ruggeri";0.75;0.65
328;"Josan";1.07;0.55
329;"José Salinas";0.68;0.67
330;"Mourad El Ghezouani";0.55;0.25
331;"Nahuel Molina";0.71;0.55
332;"Victor Chust";0.17;0.17
333;"Jairo Izquierdo";0;0
334;"Yeremi Pino";1.11;0.79
335;"Jesús Vázquez";0.28;0.25
336;"Ilaix Moriba";0.39;0.27
337;"Antonio Blanco";0.33;0.29
338;"Abdelkabir Abqar";0.02;0.02
339;"Pablo Cuñat";0;0
340;"Beñat Turrientes";0.49;0.44
341;"Jon Ander Olasagasti";0.23;0.07
342;"Beñat Prados";0.17;0.13
343;"Carlos Domínguez";0.44;0.43
344;"Hugo Sotelo";0.49;0.43
345;"Inigo Ruiz de Galarreta";0.18;0.15
346;"Jesús Areso";0.15;0.11
347;"Joan García";0.34;0.34
348;"Matías Dituro";0.31;0.3
349;"Gavi";1.03;0.83
350;"Álex Balde";0.72;0.57
351;"Fran García";0.58;0.57
352;"Óscar Valentín";0.35;0.33
353;"Randy Nteka";0.08;0.08
354;"Pathé Ciss";0.54;0.44
355;"Julen Agirrezabala";0.04;0.04
356;"Nicolás Serrano";0.34;0.16
357;"Leo Román";0.09;0.09
358;"Jon Karrikaburu";0.4;0
359;"Antonio Sánchez";0.35;0.25
360;"Rubén Sánchez";0.76;0.76
361;"César Tárrega";0.12;0.11
362;"Ilias Akhomach";1.03;0.2
363;"Javi Llabrés";0.08;0.04
364;"Bryan Zaragoza";0.53;0.34
365;"Marc Pubill";0.55;0.43
366;"Jofre Carreras";0.13;0.07
367;"Adrián De la Fuente";0.19;0.18
368;"Javier Guerra";0.34;0.21
369;"Kike Salas";0.4;0.39
370;"Eray Cömert";0.08;0.08
371;"Abu Kamara";0.24;0.01
372;"Damián Rodríguez";0.95;0.9
373;"Luca Koleosho";0.46;0.38
374;"Jorge Herrando";0.02;0.02
375;"Omar El Hilali";0.15;0.1
376;"Charles Pickel";0.48;0.45
377;"Ramón Terrats";0.38;0.09
378;"Largie Ramazani";1.98;1.21
379;"Copete";0.09;0.08
380;"Pablo Torre";0.3;0.15
381;"André Almeida";0.37;0.27
382;"Marc Casadó";0.89;0.83
383;"Pablo Marín";0.23;0.13
384;"Manu Bueno";1.47;1.09
385;"Gabriel Suazo";0.26;0.21
386;"Dawda Camara";0.17;0
387;"Renato Veiga";0.45;0.44
388;"Iker Muñoz";0.12;0.11
389;"Haissem Hassan";0.28;0.15
390;"Unai Gómez";0.2;0.05
391;"Yago Alonso";0.31;0.14
392;"Álvaro Vallés";0.08;0.08
393;"Sergi Cardona";0.66;0.62
394;"Lucas Bergström";0.18;0.18
395;"Abderrahmane Rebbach";0.31;0.06
396;"Carlos Benavídez";0.21;0
397;"Adrià Alti";0.36;0.36
398;"Natan";0.31;0.3
399;"Clemens Riedel";0.3;0.29
400;"Pau Cubarsí";0.75;0.75
401;"Gonzalo García";1.55;0.64
402;"Dani Pérez";0;0
403;"Jhon Solis";0.21;0.19
404;"David López";0.08;0.08
405;"Alan Matturro";0.19;0.18
406;"Hector Fort";0.47;0.37
407;"Javier Rodríguez";0.34;0.33
408;"Jon Aramburu";0.26;0.25
409;"Hugo Rincón";0.32;0.22
410;"Victor Parada";0.35;0.26
411;"Augusto Batalla";0.3;0.29
412;"Johnny Cardoso";0.33;0.33
413;"Jon Martín";0.28;0.27
414;"Stanis Idumbo Muzambo";0.59;0
415;"Iñigo Arguibide";0.02;0.01
416;"Asier Osambela";0.08;0.06
417;"Yoel Lago";0.26;0.25
418;"Ladislav Krejcí";0.06;0.06
419;"Alejandro Francés";0.48;0.42
420;"Adama Boiro";0.12;0.1
421;"Marc Bernal";1.54;1.54
422;"Gerard Martín";0.69;0.64
423;"Luka Sucic";0.18;0.02
424;"Pedro Díaz";0.37;0.3
425;"Pelayo Fernández";0.21;0.21
426;"Marc Domenech";0.3;0.02
427;"Endrick";0;0
428;"Antoniu Roca";1.89;1.64
429;"Pau Navarro";0.2;0.19
430;"Luiz Júnior";0.16;0.16
431;"Jan Salas";0;0
432;"Bojan Miovski";0;0
433;"Santiago Mouriño";0.45;0.44
434;"Yáser Asprilla";0.22;0.1
435;"Coba da Costa";0.19;0.13
436;"Matías Moreno";0.25;0.24
437;"Toni Fernández";0.17;0
438;"Ramón Martínez";0.8;0.8
439;"Raúl";0.49;0.47
440;"Youssef Lekhedim";0.31;0.18
441;"Facundo Garcés";0.08;0.07
442;"Ismael Bekhoucha";1.08;0.41
443;"Ángel Ortiz";0.01;0.01
444;"Pablo García";0.5;0.09
445;"Vitor Reis";0.3;0.29
446;"Vladyslav Krapyvtsov";0.04;0.04
447;"Valde";0.18;0.16
448;"Mikel Goti";0.25;0
449;"Andrés Castrín";0.16;0.16
450;"Oso";0.83;0.28
451;"Hugo Solozabal";0;0
452;"Lander Pinillos";0;0
453;"Jozhua Vertrouwd";0.38;0.38
454;"Samu Becerra";0;0
455;"Oier Luengo";0;0
456;"Rahim Alhassane";0.22;0.19
457;"Kwasi Sibo";0.28;0.26
458;"Ilyas Chaira";0.37;0.22
459;"Borja Sánchez";0;0
460;"Marco Esteban";0;0
461;"Omar Falah";0;0
462;"Jofre Torrents";3.31;3.31
463;"Dro Fernández";0.73;0.68
464;"Filip Ugrinic";0.26;0.07
465;"Calebe";0.38;0.3
466;"Unai Elgezabal";0.14;0.14
467;"Jorge Cabello";0.19;0.19
468;"Roger Brugué";0.51;0.23
469;"Carlos Espí";0.08;0
470;"Manuel Fernández";0.55;0.54
471;"Davinchi";0.08;0.04
472;"Urko Izeta";0.27;0
473;"Miguel Sierra";0.26;0.16
474;"Tyrhys Dolan";0.35;0.2
475;"Álvaro Núñez";0.4;0.35
476;"David Affengruber";0.35;0.31
477;"Ali Houary";0.04;0
478;"Marc Aguado";0.15;0.15
479;"Martim Neto";0.39;0.28
480;"Federico Redondo";0;0
481;"Bambo Diaby";0.08;0.08
482;"Santiago Colombatto";0.36;0.32
483;"Álex Forés";0.33;0
484;"Jan Virgili";0.6;0.19
485;"Nelson Deossa";0.18;0.11
486;"Fábio Cardoso";0;0
487;"Adam El Mokhtari";0;0
488;"Lucas Ahijado";0.29;0.21
489;"Alex Sancris";0.11;0.07
490;"Lancinet Kourouma";0;0
491;"Diego Morcillo";7.65;1.27
492;"Selton Sánchez";0.52;0.27
493;"Pablo Agudín";0.06;0
494;"Gorka Carrera";0.21;0.21
495;"Carlos Macià";0.12;0.06
496;"Juan Arango";0;0
